show_id,show_name,publisher,episode_id,episode_name,description,release_date,duration_ms,duration_min,explicit,language,spotify_url,audio_preview_url
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,5EogWAhYJPzqHjwDzzbzdG,"RJ 277 | Varones de ultraderecha, madres sin matrona e investigadoras… ¿azafatas?","El Radiojaputa 277 nos trae una mezcla de las dos cosas que más nos gustan de este programa: vuestras voces y las historias que no salen en prime time.  Empezamos escuchando las reflexiones y experiencias que nos habéis enviado esta semana: hablamos de varones jóvenes y ultraderecha, ¿cómo se cultiva la idealización del fascismo entre gente joven? ¿Por qué este discurso no tiene la necesidad de ocultar lo más oscuro de la represión franquista? ¿Por qué los agitadores ultras van de transgresores? Nos explayamos con estas cuestiones. También hablamos de machismo en el ámbito de la investigación, a raíz del audio de una compañera que nos cuenta sus experiencias pa mear y no echar gota en el mundo del señorío académico; ahondamos en la salud física y mental de las madres, con los datos que nos trae otra prima, y acompañamos a una oyenta que se llama Ramona, y que ha tenido que aguantar durante décadas la misma canción rancia de la España del destape y que reflexiona sobre qué hacer con su nombre. Hay más, y muy interesante!  La entrevista que tenemos preparada es, como os hemos prometido, una de esas historias que no salen en las noticias. Conversamos con Noelia, una oyenta que participó con su historia en el Especial de Salud Mental, y que nos contaba cómo, en medio de la soledad a la que te aboca el sistema sanitario, creó un grupo de apoyo para poder organizarse y acompañarse con otras familias que estuvieran pasando por lo mismo. Hoy viene a contarnos su experiencia con el TLP, el sistema sanitario, las familias y este grupo de apoyo.  Ponemos el broche final con el audio de una amiga que nos regala una reflexión y unas risas, que siempre se agradecen y nos ayudan a seguir remando en este bote salvavidas, a la deriva feminista.  Para matrocinar este espacio, puedes hacerlo en radiojaputa.com.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-05-14,3344138,55.7,False,es,https://open.spotify.com/episode/5EogWAhYJPzqHjwDzzbzdG,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,75hDJNyZUGVkTRsVadOdZK,"Entrevista a la filósofa LUISA POSADA KUBISSA sobre su libro ""Fuego amigo""","Entrevista completa a la filósofa LUISA POSADA KUBISSA sobre su libro ""Fuego amigo"", donde dialoga con otras filósofas como Butler, Braidotti o Haraway, mujeres decididas a borrar el sujeto de la lucha feminista: las mujeres.",2026-05-10,2918878,48.6,False,es,https://open.spotify.com/episode/75hDJNyZUGVkTRsVadOdZK,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,3ayVPlOO8lC005aFDVYLUy,RJ 276 | El nuevo debate sobre si las mujeres deberíamos votar no lo vimos venir,"Bienvenidas, primas, al Radiojaputa 276. Hoy tenemos un programa que no os queréis perder, porque tenemos una invitada de excepción y porque nos traéis audios especialmente interesantes.  En la sección con vuestros mensajes, volvemos al tema de los grupos de varones organizados en redes sociales para violar a sus mujeres, y nos preguntamos, no sin un escalofrío de miedo, hasta dónde podrían llegar nuestras propias parejas hombres (pero no puede ser, yo estoy con un hombre bueno, ¿verdad?). También respondemos a una oyenta que no entiende por qué defendemos que la ganadería es patriarcal, hablamos sobre las próximas elecciones en Andalucía y cómo ha ido creciendo el discurso ultra de quitar el voto a las mujeres y reflexionamos con el audio de una compañera de 7 años muy enfadada, y con razón, porque se presuponga que las niñas se portan mejor que los niños.  Y en nuestra entrevista de hoy tenemos a Luisa Posada Kubissa, doctora en Filosofía, escritora y teórica feminista que viene a presentarnos su último libro “Fuego amigo: ¿nuevos discursos en favor del feminismo?”. Con ella conversamos sobre teorías queer, feminismo decolonial, transhumanismo, lo posthumano y lo cyborg… y rebate con elegancia a pensadoras como Butler, Braidotti, Haraway, Fraser y otras que han insistido en borrar el sujeto de la lucha feminista.  Cerramos nuestro encuentro de hoy más juntas y unidas que nunca, con las voces de distintas compañeras que saben la fuerza que tiene encontrarnos y sostenernos entre nosotras, y la música de mujeres que hablan de la importancia de hacer comunidad.  Para matrocinar este espacio, puedes hacerlo en radiojaputa.com.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-05-07,3243340,54.1,False,es,https://open.spotify.com/episode/3ayVPlOO8lC005aFDVYLUy,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,4zeXSWtCdielZgNPKIMi80,Entrevista a la psicóloga infantil y perinatal Ibone Olza. Salud mental de las mujeres.,"Esta es la entrevista completa a la psiquiatra infantil y perinatal Ibone Olza, de la que pudiste escuchar un extracto en nuestro especial sobre salud de las mujeres: Radiojaputa 275.  Las referencias y enlaces que acompañan a este podcast las podéis encontrar siempre en radiojaputa.com, ya que Ivoox no permite clicar en links.",2026-05-03,2851982,47.5,False,es,https://open.spotify.com/episode/4zeXSWtCdielZgNPKIMi80,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,5sQnZY1oQAdWzX7YUgwovS,Entrevista a la psicóloga forense Laura Redondo. Salud mental de las mujeres,"Esta es la entrevista completa a la psicóloga forense Laura Redondo, de la que pudiste escuchar un extracto en nuestro especial sobre salud de las mujeres: Radiojaputa 275.  Las referencias y enlaces que acompañan a este podcast las podéis encontrar siempre en radiojaputa.com, ya que Ivoox no permite clicar en links.",2026-05-03,3911785,65.2,False,es,https://open.spotify.com/episode/5sQnZY1oQAdWzX7YUgwovS,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,1J73ioqmZxIW8U4H6YpALB,Entrevista a la psiquiatra Gemma Parramón sobre salud mental de las mujeres,"Esta es la entrevista completa a la psiquiatra Gemma Parramón, de la que pudiste escuchar un extracto en nuestro especial sobre salud de las mujeres: Radiojaputa 275.  Las referencias y enlaces que acompañan a este podcast las podéis encontrar siempre en radiojaputa.com, ya que Ivoox no permite clicar en links.",2026-05-03,1824329,30.4,False,es,https://open.spotify.com/episode/1J73ioqmZxIW8U4H6YpALB,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,0GIvjWH9qgrbMbbvRif2GA,Especial SALUD MENTAL: ¿Y tú por qué estás así?,"El Radiojaputa 275 es uno de esos podcast que llevábamos mucho tiempo queriendo hacer. Hoy os presentamos el ESPECIAL SALUD MENTAL que no te puedes perder, porque lo hemos hecho, como todo lo que hacemos en Radiojaputa, desde una perspectiva feminista y con mucho cariño y detalle.  Y es que la salud mental de las mujeres ha estado históricamente envuelta en el estigma, la invisibilización y la violencia. Por eso, en este programa hablamos de historia, hormonas, androcentrismo médico, salud pública, violencia machista, violencia sexual, violencia obstétrica, suicidio, terapia, maternidad, presión estética, duelo, disforia, autismo, TDAH, TLP, trastorno de la conducta alimentaria, demencia senil, ansiedad, depresión… y muchos más temas. Lo hacemos, como siempre, con vuestras dudas y vuestras vivencias como hilo conductor.  Para responder a todas nuestras preguntas hemos contado en esta ocasión con tres expertas: la psicóloga forense Laura Redondo y las psiquiatras Gemma Parramon e Ibone Olza. No olvidéis que, si alguno de los temas que hemos mencionado no lo encontráis en este podcast, lo podéis escuchar en las entrevistas completas que saldrán este domingo en nuestro canal de Ivoox, ya que para el episodio de hoy hemos incluido sólo un extracto de cada una de las invitadas.  Además, en este especial hemos incluido canciones de mujeres que han atravesado problemas de salud mental y han hablado de ello abiertamente.  Acabamos en alto y con esperanza, recordando los avances que hemos vivido en los últimos años en cuanto a la salud mental y las mujeres, tenemos motivos para estar esperanzadas.  Para matrocinar este espacio, puedes hacerlo en radiojaputa.com.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-04-30,6099046,101.7,False,es,https://open.spotify.com/episode/0GIvjWH9qgrbMbbvRif2GA,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,5xg8JTsBfIjNpon6cQsBD6,RJ 274 | Depresión postparto PATERNA. Violadores organizados en Telegram. Sección vegana.,"Llegamos al Radiojaputa 274, que hoy abrimos comentando la última noticia sobre cómo la CNN ha destapado otro grupo en Telegram donde los hombres se dan consejos para drogar y violar a sus novias y esposas. Comentamos los datos que tenemos de este tipo de grupos (que son sólo la punta del iceberg) y cómo ninguno ha sido denunciado jamás por ningún hombre.  Entre los mensajes que nos enviáis hoy está el caso del asesino de Olot, el celador que asesinó a 11 ancianas y ahora en la cárcel se ha declarado mujer y ha sido trasladado al módulo de mujeres, ley trans mediante. También hablamos de la importancia de permanecer vigilantes y quejarnos, y las cosas que conseguimos cuando lo hacemos; de la depresión postparto paterna (paterna, has leído bien); y de la justicia retributiva, que nos llega con la explicación de una niña de 3 años a su padre.  Vuelve Silvia de la Fuente con su sección vegana “Lo que callan las vacas” donde, en esta ocasión, reflexionamos sobre que el veganismo no es una dieta, sino un posicionamiento ético; nos imaginamos qué pasaría en un mundo donde todas las personas fueran veganas, ¿se extinguirían algunas especies de animales? ¿cómo sería eso?, y hablamos de ser vegana y feminista en un mundo que no es vegano ni feminista.  Nos despedimos hasta la próxima semana con recordatorios, novedades, el audio buen-rollista de rigor, musicón y mucho, mucho amor.  Para matrocinar este espacio, puedes hacerlo en radiojaputa.com.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-04-23,3464132,57.7,False,es,https://open.spotify.com/episode/5xg8JTsBfIjNpon6cQsBD6,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,1uOVBIEWe1Ejgn8M4HMcAO,RJ 273 | Racialización y desarraigo. ¿Son cómodas las mallas-tanga? Hablar mal de los padres,"Bienvenidas todas al Radiojaputa 273, el encuentro semanal con las amigas que os merecéis. Que nos merecemos. Hoy empezamos celebrando que cumplimos 8 años: este 16 de abril soplamos las velas juntas por otra vuelta al sol con la mejor compañía posible: vosotras.  Seguimos con vuestros mensajes: una compañera nos cuenta el hartazgo que implica ser responsable de igualdad de su empresa y organizar cursos para una plantilla regada (por supuesto) de señordos; otra prima nos pregunta por las mallas-tanga, ¿de verdad son cómodas? Despejamos las dudas que pueda haber. También tenemos el audio de una oyenta que nos habla del desarraigo de ser mujer racializada, aunque a veces no lo suficiente; y comentamos el enésimo congreso de una profesión feminizada donde los ponentes son, en un gran porcentaje, varones.  Esta semana tenemos de vuelta a Silvia Carrasco, que nos trae nueva sección de DoFemCo en formato píldora para resolver todas vuestras dudas sobre coeducación: en esta ocasión, nos responde a cuestiones que tienen que ver con la problemática de los baños mixtos en los coles, los profesores machistas, las charlas afectivo-sexuales o el papel de niños y niñas cuando se hacen trabajos en grupo.  Hoy cerramos nuestro encuentro con el Aquelarre: vienen las más sabias entre las sabias a responder y arropar a una oyenta que se sentía muy frustrada y quería saber cómo hacen las otras madres para no caer en la tentación de rajar de los padres delante de hijas e hijos y no dañar la autoestima de las criaturas.  Para matrocinar este espacio, puedes hacerlo aquí.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-04-16,3197422,53.3,False,es,https://open.spotify.com/episode/1uOVBIEWe1Ejgn8M4HMcAO,
4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,4kWwftFPakXzzjWIl1MDHa,RJ 272 | Breaking news: Los varones deberán competir contra varones en los JJ.OO.,"Volvemos tras una semana de descanso con el Radiojaputa 272, un podcast que iniciamos con un temazo: mujeres que actualmente son jefas de Estado o Gobierno de sus países. ¿Las conocemos? Y más importante aún: que una mujer esté en la cima del poder de un país, ¿implica automáticamente una transformación y cambio en la lógica de ese poder?  Continuamos escuchando los audios que nos habéis mandado esta semana: hablamos de las mujeres en las cofradías de Semana Santa, de la nueva presidenta del COI y de los acantilados de cristal (si no sabes qué es esto, te lo explicamos), de empresas que promueven los safe spaces pero solo para algunes… Y también tenemos recomendaciones de eventos y el audio (súper interesante) de una oyenta de 12 años.  Y regresa a nuestro podcast violentito de confianza Patricia Sornosa con su sección “Cuéntaselo a la tita Patri”: a raíz del audio de una compañera, analizamos los tipos de hombres que te puedes encontrar en el trabajo… y es que a muchas deberían pagarles un plus por aguantar machirulos.  Cerramos el podcast de hoy con música, nuestro ya clásico audio de subidón y algún recordatorio para que no te pierdas nada de lo que hacemos en este bote salvavidas, a la deriva feminista.  Para matrocinar este espacio, puedes hacerlo en radiojaputa.com.  Si tú también quieres participar, mándanos un audio de whatsapp al (+34) 636 75 14 20.  Y si te han gustado las canciones, las tienes todas en Youtube, listadas por temporadas.",2026-04-09,3513736,58.6,False,es,https://open.spotify.com/episode/4kWwftFPakXzzjWIl1MDHa,
